id;quote;author
798;No Congress ever has seen fit to amend the Constitution to address any issue related to marriage. No Constitutional Amendment was needed to ban polygamy or bigamy, nor was a Constitutional Amendment needed to set a uniform age of majority to ban child marriages.;Judy Biggert
799;We're taught at such a young age that you can always be better and that you're never perfect and that you're never good enough.;Shawn Johnson
800;The young people have MTV and rock and roll. Why would they go to read poetry? Poetry belongs to the Stone Age. It awakens in us perceptions that go back to those times.;Robert Morgan
801;Study is the bane of childhood, the oil of youth, the indulgence of adulthood, and a restorative in old age.;Walter Savage Landor
802;Because of my age and because there's more work on the small screen. What it's missing in quality it makes up for in quantity. From an actor's selfish point of view.;Cesar Romero
803;Old age is an insult. It's like being smacked.;Lawrence Durrell
804;Age puzzles me. I thought it was a quiet time. My seventies were interesting and fairly serene, but my eighties are passionate. I grow more intense as I age.;Florida Scott-Maxwell
805;One of the great challenges of our age, in which the tools of our productivity are also the tools of our leisure, is to figure out how to make more useful those moments of procrastination when we're idling in front of our computer screens.;Joshua Foer
806;I happen to be interested in watching a face age. I like faces of women aging so it makes me personally quite sad. That's a beautiful gift from God. If people don't want to see that anymore then I won't be in anymore movies.;Debra Winger
807;Never say never, but the thought of electively cutting oneself is beyond my grasp, and I also object to it politically. Denying the lines on our faces makes a comment about age and wisdom I don't care to make.;Debra Winger
808;People pay to see movies with women looking beautiful, but I think there will be a place for me to play women looking my own age.;Debra Winger
809;There's a small club of women who are willing to age.;Debra Winger
810;I hope to find the roles that are age appropriate but not yearning to be younger, or parenting ad nauseam.;Debra Winger
811;I try to write lyrics so that they won't age, which sort of leaves you with the big subjects like death and love and sex and violence.;Florence Welch
812;In the modern media age we are rarely surprised by what we see. Whether it's on television or film or in the theatre, everything is so advertised, so trailed, that most entertainment is merely what you thought it was going to be like.;Rowan Atkinson
813;Your 40s are a major trough. About the age of 50, feelings of satisfaction begin to rebound and keep rising into your 50s, 60s and 70s, with health being a major factor.;Jane Pauley
814;I came back to work when my children were two months old. At that early age, they seem to have little awareness of anybody but their Raggedy Ann dolls, so it wasn't a matter of them missing me. I was missing them.;Jane Pauley
815;Being successful at a very young age gave me the confidence and the capability to try out other things.;Joshua Lederberg
816;About the time I turned 50, I experienced the profound biological change that often accompanies women at that age. Also, I put two kids in college and lost both of my parents, so I'm no longer somebody's daughter.;Jane Pauley
817;I feel more mature than most people my age.;Leighton Meester
818;Age does not bring you wisdom, age brings you wrinkles.;Estelle Getty
819;Maybe I'll be a feminist in my old age.;Bjork
820;I feel the 21st century is another new age. Not only can we collaborate again with nature, but we have to. It's an emergency.;Bjork
821;You can fake your age or mask it, but the passion that moves the characters has to be real.;Victoria Abril
822;I think that clearly it has an influence, to be coming of age during the punk rock era, to come from a difficult and sporadically violent background, to have been in and out of such chaos, I think it actually helps. But I don't know for sure.;Craig Ferguson
823;I'd date someone younger or older age doesn't matter to me. Or looks, really - it's all about maturity.;Leona Lewis
824;Try to keep your soul young and quivering right up to old age.;George Sand
825;I wanted to be a forest ranger or a coal man. At a very early age, I knew I didn't want to do what my dad did, which was work in an office.;Harrison Ford
826;Parenting is an impossible job at any age.;Harrison Ford
827;Sally Field looks amazing in general, never mind her age! She's a phenomenally talented actress and has had a career spanning so many decades.;Alison Sweeney
828;I've had two romances since moving to Las Vegas. One was with somebody 12 years older than me, and the other was the same age, and neither worked out. I know people still think of me as one of Hugh Hefner's girlfriends, and he of course was much older than me, but that was a whole different lifestyle and a different kind of dating.;Holly Madison
829;From age 16, I lived and breathed wine. I read every magazine and book about wine.;Gary Vaynerchuk
830;IQ is a commodity, data is a commodity. I'm far more interested in watching people interact at a restaurant with their smartphone. We can all read 'Tech Crunch,' 'Ad Age.' I would rather be living in the trenches. I would rather be going to Whole Foods in Columbus Circle to watch people shop with their smartphones.;Gary Vaynerchuk
831;Genius worship is the inevitable sign of an uncreative age.;Clive Bell
832;I appreciate and enjoy my age.;Nikki Giovanni
833;I've been going through photos of my mother, looking back on her life and trying to put it into context. Very few people age gracefully enough to be photographed through their aging.;Jamie Lee Curtis
834;I am rediscovering the whole sexual dimension of life at the age of 86, really. And that also means discovering the feminine. So the whole of this dimension, which I had been seeking for a very long time, is now sort of opening itself up to me.;Bede Griffiths
835;I think all writers of my age who are brought up on films probably by the age of 16 have seen many more films than they have read classics of literature. We can't help but be influenced by film. Film has got some great tricks that it's taught writers.;David Mitchell
836;Some broad themes brought me where I am today. At a very young age, my hobby became thinking and finding connections.;Dean Kamen
837;I think you have to be a little bit strict. You can't be friend and their parent in a lot of situations, especially in this day and age where it's so dangerous for kids. So there's a bit of sternness, I guess, in the way I raise my kids.;Tim McGraw
838;In the 1970s and 1980s there was so little decent fiction for young people, but we're now in a golden age that shows no sign of fading. Philip Pullman, J. K. Rowling, Lemony Snicket are only three of the best known among a good number of equals.;David Mitchell
839;I want to sell to people my own age, because that's the way I write songs.;John Mellencamp
840;You get to a certain age and you just want to prove that you can still rock - that you've still got it.;Jarvis Cocker
841;I always thought that I might retire from any form of sexuality by the age of 40 and just become a dignified older person.;Jarvis Cocker
842;It's only at this age that I can say the word 'art' without flinching.;Mira Nair
843;Well, once you've resigned yourself to the fact that you are the more mature pop performer and you're past the age you ever thought you would do it, you might as well do it as long as you can. As long as I can still lift a microphone, then I'll do it, you know.;Jarvis Cocker
844;I hope to have one more boxing match at the age of 55. Given that demographic at the age of 55 to 65, you've got to make a statement with your life. Otherwise, you are just existing.;George Foreman
845;I think it's hard, the fact that there's a certain age that we can't have kids anymore.;Courteney Cox
846;While I had often said that I wanted to die in bed, what I really meant was that in my old age I wanted to be stepped on by an elephant while making love.;Roger Zelazny
847;I basically started playing violin at the age of six. That lasted about three years because my previous teacher died and the second teacher didn't really know how to successfully get me going.;Miroslav Vitous
848;Age acquires no value save through thought and discipline.;James Truslow Adams
849;I've had to be a man since I was 12 or 13. I had a job. And I was playing the piano for people twice my age. Handling responsibility is what makes a man a man.;Jamie Foxx
850;Old age isn't so bad when you consider the alternative.;Maurice Chevalier
851;Up until age 40, most men are just not as mature as women. So, it makes sense that a lot of women date up in age a bit.;Patti Stanger
852;Think back to yourself at age 18. I know I was mighty different than the Patti I am today. As we grow up, we grow out of our haircuts, our apartments and - often times - our romantic decisions.;Patti Stanger
853;I was well motivated. What I wanted to do was work for myself. I had twenty two jobs before I started my business at the age of twenty three and I didn't want one more boss telling me what to do. So I was motivated simply because I didn't want a boss.;Barbara Corcoran
854;Regardless of age, regardless of position, regardless of the business we happen to be in, all of us need to understand the importance of branding. We are CEOs of our own companies: Me, Inc. To be in business today, our most important job is to be head marketer for the brand called You.;Tom Peters
855;An age which is incapable of poetry is incapable of any kind of literature except the cleverness of a decadence.;Raymond Chandler
856;I've always felt that sexuality is a really slippery thing. In this day and age, it tends to get categorized and labeled, and I think labels are for food. Canned food.;Michael Stipe
857;There must be a law against forcing children to perform at an early age. Children should have a wonderful childhood. They should not be given too much responsibility.;Maria Callas
858;Each age tries to form its own conception of the past. Each age writes the history of the past anew with reference to the conditions uppermost in its own time.;Frederick Jackson Turner
859;People quit on jobs. They quit on marriages. They quit on school. There's an immediacy of this day and age that doesn't lend itself to being committed to anything.;Emily Blunt
860;I nearly died of double bronchial pneumonia at the age of five.;Roger Moore
